题号,题目ID,课时,知识点ID,难度系数,区分度,题总相关,删题后KR-20,审查结论,整卷KR-20
1,MTE-Q01,L1,L1_K1_pitchProperties,0.6042,0.8462,0.6559,0.9641,保留,0.965
2,MTE-Q02,L1,L1_K1_pitchProperties,0.5208,0.8462,0.5619,0.9644,保留,0.965
3,MTE-Q03,L1,L1_K2_wholeStepHalfStep,0.7083,0.7692,0.6221,0.9642,修订,0.965
4,MTE-Q04,L2,L2_K1_octaveGroups,0.4792,0.8462,0.622,0.9642,保留,0.965
5,MTE-Q05,L2,L2_K1_octaveGroups,0.4583,1,0.7154,0.9638,保留,0.965
6,MTE-Q06,L2,L2_K2_temperamentEnharmonic,0.4375,0.6923,0.4964,0.9647,保留,0.965
7,MTE-Q07,L2,L2_K2_temperamentEnharmonic,0.5208,0.9231,0.6958,0.9639,保留,0.965
8,MTE-Q08,L2,L2_K2_temperamentEnharmonic,0.3125,0.5385,0.4212,0.9649,保留,0.965
9,MTE-Q09,L3,L3_K1_trebleClef,0.6042,0.6923,0.5105,0.9646,保留,0.965
10,MTE-Q10,L3,L3_K1_trebleClef,0.5208,1,0.7347,0.9638,保留,0.965
11,MTE-Q11,L3,L3_K2_bassClef,0.3333,0.6923,0.5607,0.9644,保留,0.965
12,MTE-Q12,L3,L3_K2_bassClef,0.5625,0.9231,0.6613,0.964,保留,0.965
13,MTE-Q13,L3,L3_K1_trebleClef,0.2917,0.6923,0.549,0.9645,修订,0.965
14,MTE-Q14,L4,L4_K1_noteValues,0.4792,0.8462,0.5893,0.9643,保留,0.965
15,MTE-Q15,L4,L4_K1_noteValues,0.6042,0.6154,0.4474,0.9649,保留,0.965
16,MTE-Q16,L4,L4_K2_dotsAndTies,0.4583,0.8462,0.581,0.9644,保留,0.965
17,MTE-Q17,L4,L4_K2_dotsAndTies,0.2708,0.6154,0.5353,0.9645,修订,0.965
18,MTE-Q18,L4,L4_K2_dotsAndTies,0.4792,0.7692,0.5745,0.9644,保留,0.965
19,MTE-Q19,L5,L5_K1_trillMordent,0.5417,0.6923,0.4758,0.9648,保留,0.965
20,MTE-Q20,L5,L5_K1_trillMordent,0.4167,0.8462,0.6278,0.9642,保留,0.965
21,MTE-Q21,L5,L5_K2_turnAppoggiatura,0.5208,1,0.6988,0.9639,保留,0.965
22,MTE-Q22,L5,L5_K2_turnAppoggiatura,0.25,0.5385,0.4853,0.9647,修订,0.965
23,MTE-Q23,L6,L6_K1_dynamics,0.6667,0.9231,0.6707,0.964,保留,0.965
24,MTE-Q24,L6,L6_K1_dynamics,0.5417,0.8462,0.666,0.964,保留,0.965
25,MTE-Q25,L6,L6_K2_articulation,0.6875,0.6154,0.5185,0.9646,保留,0.965
26,MTE-Q26,L6,L6_K2_articulation,0.5417,0.6923,0.4906,0.9647,保留,0.965
27,MTE-Q27,L7,L7_K1_repeatSigns,0.5625,0.6923,0.5179,0.9646,保留,0.965
28,MTE-Q28,L7,L7_K2_dcDsCoda,0.4792,0.9231,0.6577,0.9641,保留,0.965
29,MTE-Q29,L7,L7_K2_dcDsCoda,0.3542,0.8462,0.6364,0.9641,保留,0.965
30,MTE-Q30,L7,L7_K2_dcDsCoda,0.4375,0.6923,0.5469,0.9645,保留,0.965
31,MTE-Q31,L8,L8_K1_tempoTerms,0.6667,0.6923,0.5107,0.9646,保留,0.965
32,MTE-Q32,L8,L8_K1_tempoTerms,0.4583,0.9231,0.6615,0.964,保留,0.965
33,MTE-Q33,L8,L8_K2_expressionTerms,0.4375,0.7692,0.5917,0.9643,保留,0.965
34,MTE-Q34,L8,L8_K2_expressionTerms,0.6458,0.6154,0.4828,0.9647,保留,0.965
35,MTE-Q35,L9,L9_K1_timeSignatureMeter,0.6458,0.7692,0.5598,0.9644,保留,0.965
36,MTE-Q36,L9,L9_K1_timeSignatureMeter,0.4583,0.8462,0.6435,0.9641,保留,0.965
37,MTE-Q37,L9,L9_K2_simpleCompound,0.4792,0.6154,0.4622,0.9648,保留,0.965
38,MTE-Q38,L9,L9_K2_simpleCompound,0.2708,0.7692,0.6249,0.9642,修订,0.965
39,MTE-Q39,L10,L10_K1_noteGrouping,0.5417,0.9231,0.6929,0.9639,保留,0.965
40,MTE-Q40,L10,L10_K1_noteGrouping,0.3333,0.5385,0.4515,0.9648,保留,0.965
41,MTE-Q41,L10,L10_K1_noteGrouping,0.5208,1,0.6928,0.9639,保留,0.965
42,MTE-Q42,L10,L10_K2_crossBarTies,0.5,0.7692,0.6047,0.9643,保留,0.965
43,MTE-Q43,L10,L10_K2_crossBarTies,0.4792,0.5385,0.474,0.9648,保留,0.965
44,MTE-Q44,L11,L11_K1_syncopationTypes,0.5208,0.8462,0.6064,0.9643,保留,0.965
45,MTE-Q45,L11,L11_K1_syncopationTypes,0.5625,0.7692,0.5835,0.9643,保留,0.965
46,MTE-Q46,L11,L11_K1_syncopationTypes,0.5625,0.6923,0.4497,0.9649,保留,0.965
47,MTE-Q47,L11,L11_K2_classicSyncopation,0.4167,0.6923,0.4779,0.9647,保留,0.965
48,MTE-Q48,L11,L11_K2_classicSyncopation,0.3542,0.8462,0.6675,0.964,保留,0.965
49,MTE-Q49,L12,L12_excel_composite,0.5417,0.8462,0.6182,0.9642,保留,0.965
50,MTE-Q50,L12,L12_excel_composite,0.5833,0.7692,0.5556,0.9644,保留,0.965
